aspect,setiment_words,polarity
质量,很好,1
舒适度,很舒服,1
价格,值得,1
质量,挺好,1
舒适度,特别舒服,1
做工,精细,1
舒适度,挺舒服,1
款式,挺好的,1
质量,一如既往的好,1
质地,很舒服,1
款式,很好,1
质量,非常好,1
舒适度,确实不错,1
款式,很好,1
外观,挺好看,1
价格,特别便宜,1
质量,很好,1
做工,精细,1
尺寸,合适,1
价格,超值,1
款式,好看,1
尺寸,合身,1
质量,很好,1
价格,非常便宜,1
质量,很好,1
舒适度,很舒服,1
价格,这么便宜,1
质量,不错,1
服务,好,1
尺寸,正合身,1
款式,高档上档次,1
质地,柔软,1
舒适度,舒适,1
外观,挺好看的,1
质量,不错,1
性价比,很高,1
质量,很好,1
做工,精细,1
款式,正,1
舒适度,很舒服,1
性价比,高,1
质量,很好,1
尺寸,标准,1
质量,相当好,1
款式,比较潮流,1
舒适度,很舒服舒适,1
质地,挺舒服的,1
外观,时尚,1
款式,很好,1
尺寸,挺标准的,1
款式,好看,1
尺寸,合适,1
外观,挺好看的,1
包装,挺用心的,1
质量,挺好,1
舒适度,舒服,1
价格,这么便宜,1
质量,这么好,1
质量,不错,1
尺寸,尴尬,-1
质量,很好,1
舒适度,很暖和,1
款式,很好,1
价格,超级实惠的,1
质量,非常不错,1
质地,挺不错,1
尺寸,挺合适,1
款式,特别好,1
质量,不错,1
质量,挺好的,1
款式,好看,1
外观,挺好看的,1
款式,喜欢的,1
外观,特别棒,1
质量,不错,1
质量,非常好,1
款式,很喜欢,1
质量,非常好,1
质量,好,1
款式,新颖,1
服务,很好,1
外观,挺好看的,1
质地,不错,1
质量,非常好,1
舒适度,很舒服,1
尺寸,很合适,1
外观,挺好看的,1
外观,特别的时尚,1
质量,真的不错,1
做工,很好,1
外观,好看,1
质地,舒服,1
外观,很好看,1
质量,真不错,1
做工,很好,1
质地,舒服,1
尺寸,合适,1
质量,不错,1
款式,好看,1
包装,非常严实,1
质量,不错,1
做工,很精细,1
质量,杠杠的,1
质量,超级好,1
质量,很好,1
服务,很好,1
包装,严实,1
质量,很好,1
质量,优质,1
款式,很正,1
外观,很帅气,1
做工,精细,1
尺寸,很合适,1
质量,不错,1
价格,非常便宜,1
做工,精细,1
外观,好看,1
质量,真心不错,1
舒适度,很暖和,1
款式,时尚,1
质量,不错,1
做工,细致,1
做工,精细,1
尺寸,很合适,1
外观,挺时尚的,1
款式,喜欢的,1
质量,不错,1
质量,好,1
尺寸,合身,1
价格,物美价廉,1
价格,便宜,1
质量,好,1
质量,还不错,1
价格,物超所值,1
价格,实惠,1
尺寸,非常合适,1
质量,非常不错,1
性价比,很高,1
质量,不错,1
尺寸,很合身,1
价格,物超所值,1
舒适度,非常舒服,1
质量,非常好,1
质量,很好,1
质量,特别好,1
质量,不错,1
价格,值,1
外观,挺好看的,1
质量,不错,1
款式,很潮,1
舒适度,舒服,1
款式,很有型,1
价格,不贵,1
外观,挺时尚的,1
质量,不错,1
尺寸,合适,1
价格,很划算,1
质量,非常好,1
款式,很潮流,1
舒适度,舒服,1
质量,杠杠的,1
服务,非常好,1
性价比,高,1
质量,很好,1
价格,值得,1
质量,不错,1
款式,很有个性,1
质量,很好,1
服务,挺好,1
质量,很好,1
款式,简单,1
质量,很好,1
尺寸,很合身,1
舒适度,挺舒服暖和的,1
尺寸,挺合适的,1
质量,很好,1
款式,有型,1
质量,很好,1
价格,合理,1
舒适度,舒服,1
外观,挺好看的,1
款式,喜欢的,1
性价比,很高,1
价格,非常实惠,1
质量,不错,1
质量,好,1
质地,很舒服,1
款式,很不错,1
质量,不错,1
价格,值,1
外观,很漂亮,1
尺寸,合适,1
性价比,高,1
价格,很实惠,1
质量,真的非常棒,1
款式,喜欢的,1
质量,不错,1
质地,很舒服,1
款式,喜欢的,1
外观,挺好看的,1
尺寸,合适,1
价格,物美价廉,1
质量,不错,1
舒适度,柔软舒适,1
服务,好,1
质量,非常不错,1
舒适度,舒服,1
尺寸,合适,1
尺寸,合适,1
做工,精细,1
外观,非常好看,1
质量,很好,1
做工,很精细,1
质量,非常好,1
款式,简单大方,1
质量,很好,1
款式,好看,1
服务,很好,1
质量,特别好,1
尺寸,挺合适的,1
质量,不错,1
性价比,非常高,1
价格,物美价廉,1
服务,很好,1
做工,很精细,1
价格,物美价廉,1
尺寸,很合身,1
舒适度,很舒服,1
质量,很好,1
价格,很实惠,1
价格,超级实惠的,1
价格,不贵,1
价格,非常便宜,1
价格,物超所值,1
性价比,很高,1
尺寸,很合身,1
价格,不贵,1
价格,不贵,1
质量,很好,1
做工,精细,1
舒适度,舒服,1
性价比,非常高,1
质量,好,1
做工,精细,1
款式,新颖,1
做工,精细,1
尺寸,标准,1
款式,不错,1
舒适度,很舒服,1
款式,非常喜欢的,1
尺寸,十分合身,1
质地,有弹性的,1
价格,很实惠,1
价格,很实惠,1
性价比,很高,1
价格,超级实惠,1
质量,棒棒的,1
款式,很好,1
尺寸,合适,1
舒适度,挺舒服的,1
性价比,很高,1
服务,很不错,1
价格,非常便宜,1
性价比,很高,1
质量,非常好,1
价格,超级实惠的,1
服务,很不错,1
价格,也不贵,1
质量,很不错,1
价格,实惠非常便宜,1
质量,很不错,1
尺寸,刚好,1
外观,挺好看,1
尺寸,很合身,1
服务,很不错,1
性价比,很高,1
性价比,很高,1
服务,很不错,1
性价比,物美价廉,1
尺寸,刚好,1
服务,很不错,1
价格,超实惠的,1
质量,不错,1
尺寸,标准,1
价格,超级划算,1
性价比,高,1
尺寸,正好,1
舒适度,舒服,1
价格,实惠,1
质量,很好,1
性价比,非常不错,1
款式,很喜欢的,1
质量,不错,1
款式,很好,1
款式,简单大方,1
性价比,很高,1
价格,超级实惠的,1
服务,很不错,1
质量,很不错,1
做工,一流,1
款式,很喜欢的,1
尺寸,合适,1
价格,很便宜,1
价格,很实惠,1
质量,不错,1
尺寸,正,1
质量,很好,1
包装,严实无损,1
质量,不错,1
款式,特比的潮,1
质量,挺好的,1
价格,非常值得,1
性价比,很高,1
价格,超级实惠的,1
性价比,很高,1
服务,很不错,1
质量,好,1
服务,很好,1
性价比,很高,1
价格,超级实惠的,1
质量,超级好,1
质量,很好,1
质量,很好,1
款式,好看,1
舒适度,舒适,1
服务,很不错,1
价格,物美价廉,1
性价比,质优价廉,1
质量,杠杠的,1
舒适度,舒服,1
尺寸,刚好,1
外观,很好看,1
尺寸,刚好,1
质量,超级好的,1
价格,物美价廉,1
价格,物超所值,1
性价比,很高,1
价格,超级实惠的,1
价格,便宜,1
质量,非常好,1
价格,非常便宜,1
质量,非常的好,1
包装,非常仔细,1
性价比,很高,1
外观,很好看,1
款式,很街头范,1
质量,好,1
舒适度,很舒服,1
性价比,很高,1
服务,很不错,1
价格,不贵,1
尺寸,刚好,1
款式,很时尚,1
质量,挺好的,1
款式,不错,1
质量,很好,1
质量,非常好,1
尺寸,挺合适的,1
性价比,很高,1
价格,超级实惠的,1
性价比,很高,1
质量,不错,1
款式,很好看,1
做工,细致,1
尺寸,很满意,1
质量,不错,1
性价比,很高,1
质量,真的不错,1
价格,很实惠,1
价格,优惠,1
质量,好,1
价格,物美价廉,1
服务,很不错,1
价格,物美价廉,1
价格,超级实惠的,1
外观,特别好看,1
价格,物超所值,1
性价比,很高,1
质量,很好,1
性价比,很高,1
价格,物美价廉,1
性价比,很高,1
价格,很实惠,1
款式,很好,1
质量,好,1
价格,不贵,1
价格,贵,-1
尺寸,刚刚好,1
质量,不错,1
性价比,好,1
包装,好,1
包装,精美,1
包装,很精细,1
价格,实惠,1
包装,完好,1
做工,精细,1
质量,好,1
款式,新颖,1
舒适度,舒服,1
价格,便宜,1
包装,完好无损,1
包装,完整,1
尺寸,合适,1
尺寸,刚刚好,1
质地,柔软,1
尺寸,合身,1
做工,好,1
舒适度,舒服,1
价格,值得,1
舒适度,很舒服,1
做工,精致,1
质量,很好,1
质量,好,1
质地,手感很舒服,1
舒适度,暖和,1
质量,不错,1
舒适度,舒服,1
外观,好看,1
价格,物美价廉,1
尺寸,刚好,1
质地,厚实,1
做工,棒,1
质量,没话说,1
尺寸,合适,1
价格,不贵,1
做工,好,1
尺寸,合身,1
舒适度,舒适,1
舒适度,舒服,1
质地,料子很好,1
做工,精细,1
尺寸,标准,1
价格,实惠,1
款式,喜欢,1
质地,面料很好,1
款式,很时尚,1
做工,细致,1
舒适度,舒服,1
外观,帅气,1
尺寸,码数准,1
尺寸,标准,1
质量,好,1
外观,漂亮,1
服务,态度很好,1
尺寸,合身,1
质量,好,1
质量,不错,1
做工,精细,1
款式,时尚,1
尺寸,合身,1
包装,仔细,1
价格,物美价廉,1
质量,好,1
价格,值得,1
价格,实在,1
质量,不错,1
质地,面料很好,1
质量,不错,1
做工,精细,1
做工,好,1
质量,不错,1
包装,完好无损,1
质量,很好,1
做工,精细,1
价格,实惠,1
外观,版型不错,1
尺寸,大小合适,1
质地,柔软,1
尺寸,刚刚好,1
质量,好,1
外观,帅气,1
舒适度,保暖,1
包装,很好,1
做工,很好,1
外观,颜色很正,1
包装,好,1
款式,流行,1
款式,有范,1
质量,不错,1
服务,态度非常好,1
质地,好,1
质量,不错,1
舒适度,舒服,1
质量,好,1
价格,实惠,1
做工,精细,1
舒适度,暖和,1
质地,硬邦邦,0
质量,很好,1
做工,精细,1
外观,有气质,1
质量,很好,1
服务,很好,1
质量,特别好,1
外观,颜色非常喜欢,1
质量,好,1
做工,精细,1
外观,好看,1
质地,厚实,1
舒适度,保暖性很好,1
质量,好,1
做工,精细,1
款式,简单大方,1
价格,便宜,1
质量,好,1
尺寸,标准,1
舒适度,舒服,1
外观,帅气,1
质量,棒,1
价格,划算,1
服务,贴心,1
价格,合理,1
性价比,很高,1
价格,物美价廉,1
质量,好,1
包装,完好无损,1
尺寸,合适,1
舒适度,舒服,1
做工,好,1
外观,好看,1
包装,严实,1
做工,精细,1
质地,皮质柔软,1
舒适度,舒服,1
服务,好,1
质地,柔软细腻,1
尺寸,合身,1
包装,完好无损,1
尺寸,大小合适,1
舒适度,舒服,1
做工,很好,1
质量,不错,1
舒适度,舒服,1
质量,好,1
舒适度,舒服,1
价格,物有所值,1
款式,不错,1
尺寸,合身,1
质量,不错,1
服务,态度很好,1
质量,好,1
尺寸,型号标准,1
质地,柔软,1
价格,实惠,1
舒适度,保暖性很不错,1
舒适度,舒服,1
外观,喜欢,1
做工,精致,1
价格,实惠,1
包装,细心,1
尺寸,合身,1
外观,好看,1
服务,好,1
外观,颜色很正,1
尺寸,大小合适,1
尺寸,合身,1
质地,有点硬,-1
外观,帅气,1
质量,好,1
舒适度,舒服,1
尺寸,合身,1
质地,面料也比较好,1
价格,物美价廉,1
质量,好,1
服务,好,1
舒适度,不够暖,-1
尺寸,有点大,-1
质量,没的说,1
舒适度,不是很暖和,-1
质地,布料非常好,1
舒适度,舒服,1
价格,实惠,1
质量,差,-1
服务,差,-1
质量,差,-1
质量,好,1
尺寸,合适,1
做工,好,1
包装,完整,1
价格,物美价廉,1
尺寸,标准,1
做工,细致,1
质地,面料厚实,1
舒适度,舒适,1
价格,便宜,1
尺寸,小,-1
款式,型很好,1
舒适度,暖和,1
做工,精细,1
款式,简单大方,1
尺寸,刚刚好,1
外观,好看,1
外观,好看,1
外观,好看,1
质地,面料不错,1
质量,很好,1
价格,合理,1
舒适度,舒服,1
质量,好,1
舒适度,舒服,1
外观,有型,1
外观,时尚,1
质地,厚实,1
款式,适合,1
舒适度,保暖舒适,1
外观,帅气,1
舒适度,舒服,1
外观,好看,1
舒适度,舒服,1
舒适度,舒服,1
质量,好,1
舒适度,舒服,1
外观,帅气,1
质地,料子也不错,1
价格,划算,1
尺寸,合适,1
质地,好,1
质量,不错,1
价格,划算,1
质量,好,1
尺寸,大,-1
质地,柔软,1
舒适度,舒服,1
价格,值得,1
服务,好,1
价格,便宜,1
服务,热情周到,1
价格,物有所值,1
服务,热情,1
服务,仔细认真,1
价格,值,1
质量,棒,1
尺寸,大小合适,1
质地,细腻,1
服务,态度不好,-1
外观,颜色也挺正,1
质地,好,1
质量,好,1
服务,好,1
做工,满意,1
质地,摸着很舒服,1
价格,便宜,1
外观,好看,1
质量,好,1
尺寸,很合身,1
外观,颜色特别合适,1
价格,实惠,1
外观,好看,1
质量,没说的,1
尺寸,合适,1
性价比,高,1
质量,好,1
质量,好,1
价格,合适,1
舒适度,舒服,1
价格,物超所值,1
尺寸,标准,1
质地,柔软,1
做工,精细,1
服务,态度也很好,1
尺寸,标准,1
质量,棒,1
质量,好,1
做工,棒,1
价格,优惠,1
质量,好,1
做工,不错,1
尺寸,标准,1
外观,帅气,1
价格,值得,1
质量,好,1
尺寸,标准,1
外观,有型,1
价格,优惠,1
价格,实惠,1
款式,帅气,1
外观,帅,1
舒适度,暖,1
做工,好,1
款式,时尚潮流,1
价格,优惠,1
服务,态度很好,1
服务,态度很好,1
质量,好,1
价格,值,1
质量,不错,1
尺寸,标准,1
外观,漂亮,1
舒适度,保暖,1
舒适度,暖和,1
款式,洋气,1
质地,硬,-1
舒适度,没那么舒服,-1
尺寸,合身,1
舒适度,暖,1
舒适度,保暖效果一般,0
做工,不是很精细,0
外观,好看,1
价格,便宜,1
舒适度,保暖,1
价格,物有所值,1
价格,值,1
尺寸,合身,1
外观,好看,1
尺寸,合身,1
外观,好看,1
舒适度,舒服,1
外观,好看,1
质量,好,1
外观,帅气,1
尺寸,合身,1
尺寸,合适,1
性价比,不错,1
质量,不错,1
质量,不错,1
质地,厚实,1
尺寸,合身,1
外观,影响美观,-1
舒适度,不是很暖和,-1
价格,值,1
价格,不贵,1
舒适度,暖和,1
质量,好,1
舒适度,舒服,1
质量,好,1
价格,物美价廉,1
外观,好看,1
外观,好看,1
价格,价美物廉,1
外观,好看,1
质量,好,1
尺寸,合身,1
尺寸,合身,1
质地,一般般,0
尺寸,合身,1
质地,很软,1
款式,好看,1
包装,精美,1
质量,好,1
做工,不错,1
服务,态度很好,1
外观,漂亮,1
外观,帅,1
价格,值,1
外观,帅,1
舒适度,舒服,1
外观,帅气,1
尺寸,合身,1
外观,帅气,1
质地,柔软,1
外观,帅气,1
质地,布料也不错,1
质量,好,1
尺寸,合适,1
舒适度,暖和,1
款式,漂亮,1
质地,面料好,1
价格,物有所值,1
质地,柔软舒适,1
舒适度,保暖性也很好,1
价格,实惠,1
服务,到位,1
款式,不错,1
价格,便宜,1
做工,精细,1
质量,好,1
质量,好,1
尺寸,正好,1
款式,不错,1
质量,不错,1
舒适度,暖暖的,1
质量,还可以,0
服务,好,1
价格,划算,1
款式,不错,1
舒适度,保暖,1
质地,好,1
做工,精细,1
款式,潮,1
舒适度,舒服,1
价格,实惠,1
包装,完整,1
服务,体验极差,-1
尺寸,合身,1
质地,摸着舒服,1
尺寸,合适,1
价格,值得,1
尺寸,合身,1
舒适度,暖和,1
做工,差,-1
质地,面料还是很好,1
质量,好,1
做工,精细,1
尺寸,刚刚好,1
款式,喜欢,1
质地,柔软,1
做工,精细,1
服务,周到,1
舒适度,保暖非常好,1
款式,还行,0
款式,好看,1
舒适度,很暖和,1
款式,简单大方,1
款式,行,1
尺寸,刚刚好,1
价格,值,1
质量,好,1
质量,不错,1
质地,好,1
做工,好,1
尺寸,合身,1
质地,柔柔的,1
舒适度,暖身,1
尺寸,合适,1
包装,不好,-1
质地,面料舒适,1
做工,整齐,1
尺寸,合身,1
款式,百搭,1
舒适度,舒服,1
质量,不怎么样,-1
尺寸,合适,1
质量,好,1
服务,棒,1
服务,好,1
服务,态度很好,1
质量,不错,1
服务,好,1
服务,态度很好,1
尺寸,标准,1
款式,不错,1
质量,好,1
外观,好看,1
质地,面料也舒服,1
价格,便宜,1
性价比,高,1
款式,有型,1
质量,好,1
服务,好,1
价格,值,1
款式,新颖,1
质地,柔软,1
款式,正,1
质地,面料很好,1
舒适度,舒服,1
质地,面料很舒服,1
尺寸,標準,1
质地,舒适,1
做工,好,1
尺寸,标准,1
价格,合理,1
质地,摸上去很舒服,1
外观,漂亮,1
质地,软软的,1
尺寸,合适,1
舒适度,暖暖的,1
款式,前卫,1
质量,好,1
尺寸,合适,1
价格,实惠,1
舒适度,舒服,1
价格,实惠,1
质地,皮质不错,1
舒适度,保暖,1
做工,精致,1
质地,手感不错,1
尺寸,合适,1
质量,好,1
质量,不错,1
质地,绒很好,1
舒适度,暖和,1
款式,好看,1
质量,好,1
舒适度,保暖效果不错,1
款式,洋气,1
价格,不贵,1
尺寸,偏大,-1
尺寸,偏大偏肥,-1
服务,态度又好,1
款式,喜欢,1
外观,帅,1
舒适度,舒服,1
质地,摸起来很舒服,1
质量,好,1
包装,好,1
质量,不褪色,1
质量,很好,1
质地,厚实,1
价格,便宜,1
舒适度,舒服,1
款式,不错,1
尺寸,合身,1
服务,态度很好,1
外观,颜色很正,1
舒适度,很保暖,1
价格,物有所值,1
款式,喜欢,1
做工,好,1
款式,不错,1
质地,手感非常好,1
质量,不错,1
舒适度,舒服,1
尺寸,合身,1
做工,不错,1
款式,喜欢,1
质量,好,1
舒适度,保暖,1
款式,好看,1
质量,好,1
服务,热情,1
质量,不错,1
价格,划算,1
性价比,高,1
外观,好看,1
舒适度,舒服,1
外观,帅气,1
质量,好,1
价格,值,1
质地,好,1
尺寸,合身,1
款式,好看,1
舒适度,舒服,1
质量,好,1
质量,不错,1
外观,有精神,1
舒适度,舒服,1
价格,实惠,1
质量,好,1
外观,好看,1
做工,精致,1
尺寸,标准,1
尺寸,刚好,1
尺寸,合适,1
价格,不贵,1
外观,帅,1
舒适度,暖和,1
价格,实惠,1
质量,好,1
舒适度,暖和,1
质地,面料不错,1
质地,柔软轻薄,1
尺寸,标准,1
做工,不错,1
价格,实惠,1
舒适度,舒服,1
外观,帅气,1
尺寸,标准,1
质量,很好,1
做工,精细,1
款式,修身,1
质量,好,1
尺寸,合身,1
服务,很好,1
价格,便宜,1
质量,好,1
质量,好,1
做工,精细,1
服务,态度很好,1
质量,不错,1
价格,值得,1
质量,好,1
外观,简单大方,1
质地,摸着很舒适,1
做工,精细,1
外观,上身效果很帅,1
质量,很不错,1
外观,帅气,1
做工,细致,1
外观,没有色差,1
质量,很好,1
质地,软的,1
做工,好,1
价格,实惠,1
质地,厚实,1
尺寸,合适,1
质地,手感舒服,1
质量,好,1
做工,讲究,1
舒适度,舒服,1
尺寸,合适,1
服务,耐心,1
尺寸,合适,1
质量,杠杠的,1
服务,满意,1
舒适度,保暖,1
质量,满意,1
性价比,高,1
质量,不易变形,1
尺寸,略大,-1
尺寸,不太合身,-1
性价比,高,1
尺寸,合适,1
质地,很好,1
尺寸,窄,-1
舒适度,舒服,1
尺寸,穿得上,1
尺寸,合适,1
舒适度,舒服,1
质量,好,1
质量,好,1
质量,好,1
性价比,对得起,1
舒适度,舒适,1
质量,好,1
质量,不错,1
舒适度,还行,0
尺寸,略短,-1
质量,不错,1
价格,实惠,1
质量,保证,1
价格,便宜,1
尺寸,大了,-1
尺寸,合身,1
舒适度,舒服,1
质量,不错,1
质量,很好,1
外观,很好,1
尺寸,刚好,1
质量,可以,1
质量,杠杠的,1
质量,不错,1
舒适度,挺好,1
质量,好,1
质量,好,1
尺寸,合身,1
尺寸,刚好,1
质量,挺好,1
尺寸,合适,1
质量,正品,1
舒适度,舒服,1
价格,实惠,1
质量,好,1
包装,简单,1
舒适度,舒服,1
尺寸,太长了点,-1
质量,非常好,1
包装,非常仔细,1
服务,这么好,1
价格,低廉,1
舒适度,舒服,1
外观,漂亮,1
质量,不错,1
尺寸,合适,1
包装,次,-1
做工,还行,1
尺寸,合身,1
舒适度,还不错,1
价格,值得了,1
价格,实惠,1
做工,精细,1
价格,优惠,1
质量,不错,1
价格,物美价廉,1
质地,好,1
舒适度,舒服,1
质地,还不错,1
尺寸,刚刚好,1
质量,不错,1
尺寸,合身,1
外观,好看,1
尺寸,挺好,1
做工,精致,1
质量,不错,1
尺寸,挺合身的,1
舒适度,舒服,1
质量,不错,1
尺寸,不错,1
价格,行,1
质地,柔软舒适,1
尺寸,合身,1
性价比,物美价廉,1
质量,好,1
外观,正,1
舒适度,挺暖的,1
尺寸,有点短了,-1
舒适度,舒适,1
外观,不敢恭维,-1
舒适度,舒服,1
质地,挺好的,1
舒适度,舒服,1
尺寸,刚好,1
质量,有保障,1
质量,可以,1
尺寸,合身,1
质量,不错,1
性价比,高,1
外观,不错,1
舒适度,舒服,1
质量,好,1
舒适度,舒服,1
包装,简陋,1
外观,正,1
质量,好,1
质量,好,1
尺寸,窄,-1
质量,不错,1
质量,好,1
质量,不错,1
大小,刚好,1
包装,一般,1
舒适度,舒服,1
质量,很好,1
价格,实惠,1
舒适度,舒服,1
尺寸,合适,1
舒适度,不错,1
性价比,物有所值,1
质地,结实,1
外观,漂亮,1
尺寸,合身,1
舒适度,舒服,1
外观,还行吧,0
外观,好看,1
尺寸,满意,1
做工,给零分,-1
舒适度,要加分,1
外观,挺别致,1
质量,真不怎么样,-1
价格,不值,-1
质地,不错,1
性价比,物美价廉,1
舒适度,舒服,1
尺寸,适中,1
舒适度,舒服,1
尺寸,合适,1
舒适度,很舒服,1
价格,便宜,1
舒适度,舒服,1
做工,很好,1
舒适度,舒服,1
外观,还可以,1
质量,很好,1
舒适度,很一般,-1
舒适度,舒适,1
尺寸,适合,1
包装,完好,1
质量,不错,1
尺寸,合适,1
服务,很好,1
质地,不错,1
舒适度,舒服,1
质量,很好,1
价格,合理,1
舒适度,还可以,0
尺寸,还可以,0
质量,没得说,1
尺寸,合适,1
舒适度,舒服,1
质量,没话说,1
价格,合理,1
舒适度,柔软舒适,1
尺寸,合适,1
质量,有保障,1
质量,不咋滴,-1
质量,好,1
价格,实惠,1
价格,不贵,1
质量,不错,1
外观,挺好,1
舒适度,柔软舒适,1
质量,好,1
质量,好,1
性价比,超高,1
尺寸,合适,1
质量,不错,1
舒适度,舒适保暖,1
质量,很好,1
价格,不贵,1
价格,实惠,1
质量,好,1
质量,好,1
舒适度,很好,1
舒适度,舒服,1
尺寸,刚刚好,1
质量,不咋地,-1
舒适度,舒服,1
舒适度,舒服,1
外观,漂亮,1
舒适度,舒服,1
质量,很好,1
外观,可以,1
尺寸,合适,1
服务,很好,1
质量,可以,1
做工,糙糙的,-1
价格,很优惠的,1
质量,不错,1
尺寸,有点小,-1
舒适度,舒服,1
价格,实惠,1
质量,不错,1
尺寸,可以接受,1
质量,有保障,1
尺寸,短,-1
舒适度,不是那么舒服,-1
质量,好,1
质量,好,1
服务,好,1
尺寸,正好,1
质量,差,-1
质量,好,1
外观,一般,0
尺寸,大,-1
质量,不错,1
质量,可以,1
舒适度,舒服,1
尺寸,合适,1
外观,好,1
价格,便宜,1
质量,不错,1
舒适度,舒适,1
尺寸,刚好,1
质量,好,1
质量,好,1
质量,好,1
尺寸,正好,1
质量,好,1
舒适度,不错,1
包装,仔细,1
服务,好,1
尺寸,合身,1
服务,好,1
质量,好,1
外观,好看,1
舒适度,舒服,1
舒适度,舒服,1
质量,不错,1
服务,好,1
舒适度,舒服,1
服务,态度好,1
舒适度,舒服,1
尺寸,合身,1
质量,好,1
尺寸,偏小,1
尺寸,合身,1
外观,颜色很正,1
质量,一样,1
价格,平好多,1
质量,不错,1
尺寸,很合适,1
外观,没有色差,1
质量,不错,1
舒适度,舒适,1
质量,很棒,1
舒适度,舒服,1
尺寸,有点长了,-1
尺寸,正好,1
舒适度,比较舒服,1
性价比,比较高,1
质量,有待检验,0
质量,不错,1
舒适度,很舒服,1
服务,不错,1
舒适度,舒服,1
做工,有点简陋,-1
价格,便宜,1
质量,一般,1
价格,偏贵,1
质量,相信,1
舒适度,舒服,1
尺寸,合身,1
价格,便宜,1
价格,实惠,1
价格,合适,1
性价比,超高,1
质量,非常好,1
舒适度,挺舒服,1
外观,不错,1
价格,合理,1
舒适度,舒服,1
价格,超值,1
质量,不错,1
质量,不错,1
质量,不错,1
尺寸,合适,1
舒适度,舒服,1
舒适度,舒服,1
尺寸,紧,-1
尺寸,正,1
质地,柔软,1
服务,好,1
舒适度,还行,0
价格,适合,1
价格,实惠,1
质量,好,1
舒适度,舒服,1
舒适度,挺舒服,1
尺寸,合适,1
包装,简单,-1
服务,好,1
质量,有保障,1
质量,不错,1
